,Player Name,Team,Games,Innings Pitched,Starts,Quality Starts,Quality Start %,K/BB,K/9IP,BB/9IP,HR/9IP,Batting Avg on Balls IP,Strand Rate,FB VLO,ERA,Fielding Ind Pitching
98,"Anderson, Chase",MIL,14,73.7,14,4,28.6,2.86,7.33,2.57,1.95,.278,66.7,90.9,5.13,5.28
99,"Wilson, Tyler",BAL,14,73.0,11,6,54.5,2.35,4.93,2.10,0.99,.278,67.9,89.4,4.19,4.25
100,"Gray, Sonny",OAK,13,72.7,13,6,46.2,2.14,7.43,3.47,1.36,.323,68.0,92.8,5.20,4.71
101,"Holland, Derek",TEX,14,72.7,14,7,50.0,1.72,5.33,3.10,1.24,.296,65.6,91.8,5.20,4.87
102,"Sanchez, Anibal",DET,18,71.3,12,1,8.3,1.73,7.19,4.16,2.02,.307,67.0,90.9,6.06,5.95
103,"Jimenez, Ubaldo",BAL,15,71.0,14,4,28.6,1.56,8.11,5.20,1.01,.395,63.8,89.8,6.97,4.65
104,"Buchholz, Clay",BOS,16,71.0,11,3,27.3,1.58,6.21,3.93,1.77,.267,62.8,91.8,5.83,5.74
105,"Sabathia, CC",NYY,12,69.7,12,8,66.7,2.03,7.62,3.75,0.39,.297,79.3,89.1,2.71,3.36
106,"Gray, Jon",COL,12,69.3,12,8,66.7,3.13,9.74,3.12,1.17,.301,63.2,95.3,4.80,3.80
107,"Cole, Gerrit",PIT,12,68.3,12,8,66.7,2.75,7.24,2.63,0.40,.327,79.3,95.2,2.77,3.07
108,"Shields, James",SD,11,67.3,11,8,72.7,2.11,7.62,3.61,1.20,.311,73.6,90.3,4.28,4.49
109,"Peralta, Wily",MIL,13,66.0,13,2,15.4,1.56,5.73,3.68,1.64,.371,67.0,94.3,6.68,5.56
110,"Wright, Mike",BAL,13,64.7,12,4,33.3,1.92,6.40,3.34,1.67,.309,62.4,93.0,6.12,5.34
111,"Nova, Ivan",NYY,15,64.3,9,2,22.2,3.38,6.16,1.82,1.68,.318,67.5,92.2,5.18,4.88
112,"Hill, Rich",OAK,11,64.0,11,8,72.7,3.08,10.41,3.38,0.28,.302,80.0,90.3,2.25,2.46
113,"Fulmer, Michael",DET,11,63.7,11,5,45.5,2.50,8.48,3.39,0.85,.269,83.8,94.8,2.40,3.71
114,"Nicasio, Juan",PIT,13,63.3,12,4,33.3,2.41,9.24,3.84,1.71,.326,64.6,93.3,5.83,4.93
115,"Norris, Bud",ATL,21,63.3,9,2,22.2,1.86,7.39,3.98,0.85,.314,68.6,93.3,4.69,4.16
116,"Hernandez, Felix",SEA,10,63.0,10,7,70.0,2.04,7.57,3.71,0.86,.265,80.3,90.0,2.86,4.03
117,"Velasquez, Vince",PHI,12,61.7,12,4,33.3,3.32,10.65,3.21,1.17,.322,75.7,93.9,3.65,3.62
118,"Guerra, Junior",MIL,10,61.3,10,6,60.0,2.79,7.78,2.79,1.03,.268,71.4,93.3,3.67,3.92
119,"Latos, Mat",CWS,11,60.3,11,5,45.5,1.28,4.77,3.73,1.49,.277,73.1,90.0,4.62,5.58
120,"Duffey, Tyler",MIN,11,59.7,11,3,27.3,3.50,7.39,2.11,1.66,.367,63.9,90.1,6.18,4.68
121,"Hughes, Phil",MIN,12,59.0,11,6,54.5,2.62,5.19,1.98,1.68,.329,64.1,90.5,5.95,5.15
122,"Duffy, Danny",KC,24,58.7,8,3,37.5,4.44,10.89,2.45,1.53,.298,78.6,95.6,3.38,3.84
123,"Miller, Shelby",ARI,12,58.3,12,2,16.7,1.29,6.17,4.78,1.85,.325,64.8,92.7,6.79,6.15
124,"Morgan, Adam",PHI,11,57.7,11,4,36.4,3.43,7.49,2.18,1.87,.365,62.5,91.2,6.55,4.99
125,"Cain, Matt",SF,11,57.3,11,4,36.4,2.28,6.44,2.83,1.26,.336,67.1,90.2,5.34,4.56
126,"Wood, Alex",LAD,10,56.3,10,5,50.0,3.26,9.91,3.04,0.80,.340,71.0,90.6,3.99,3.20
127,"Carrasco, Carlos",CLE,9,56.0,9,5,55.6,3.77,7.88,2.09,1.45,.269,84.9,93.7,2.73,4.26
128,"Nicolino, Justin",MIA,10,55.7,10,2,20.0,1.93,4.37,2.26,0.81,.340,66.7,88.7,5.17,4.18
129,"Gonzalez, Miguel",CWS,11,55.7,10,4,40.0,1.83,7.11,3.88,0.97,.331,67.5,91.5,5.17,4.36
130,"Tropeano, Nick",LAA,10,55.3,10,2,20.0,1.93,8.78,4.55,1.30,.329,84.6,0.0,3.25,4.70
131,"Andriese, Matt",TB,11,54.7,8,4,50.0,2.60,6.42,2.47,0.33,.290,74.2,91.9,2.96,3.10
132,"Rusin, Chris",COL,12,54.7,7,3,42.9,2.29,6.42,2.80,0.33,.319,67.6,89.3,4.12,3.21
133,"Young, Chris",KC,13,53.7,11,2,18.2,2.39,9.22,3.86,3.52,.293,71.4,87.8,6.54,7.57
134,"Simon, Alfredo",CIN,13,53.3,11,2,18.2,1.31,6.41,4.89,2.36,.373,56.3,92.5,9.45,6.87
135,"Cashner, Andrew",SD,11,53.0,11,5,45.5,1.64,6.11,3.74,1.02,.302,69.0,93.5,4.75,4.60
136,"Lamb, John",CIN,10,52.7,10,4,40.0,1.42,5.81,4.10,1.37,.291,71.8,89.4,4.78,5.30
137,"Butler, Eddie",COL,11,51.0,8,3,37.5,2.83,6.00,2.12,1.94,.334,59.7,92.6,6.71,5.40
138,"Blair, Aaron",ATL,11,50.7,11,2,18.2,1.00,5.15,5.15,1.42,.313,54.3,90.9,7.99,5.88
