"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"1B","John Jaso",2200,"LAD@Pit 08:08PM ET",6.167,"Pit"
"OF","Brandon Barnes",2200,"Ari@Col 04:10PM ET",3.000,"Col"
"OF","Matt Joyce",2200,"LAD@Pit 08:08PM ET",5.000,"Pit"
"2B","Josh Harrison",2200,"LAD@Pit 08:08PM ET",6.944,"Pit"
"OF","Aaron Altherr",2200,"Phi@SF 04:05PM ET",0,"Phi"
"2B","Cesar Hernandez",2200,"Phi@SF 04:05PM ET",4.986,"Phi"
"C","Rob Brantly",2200,"StL@Sea 04:10PM ET",0,"Sea"
"OF","Tyler Goeddel",2200,"Phi@SF 04:05PM ET",3.981,"Phi"
"C","Francisco Cervelli",2100,"LAD@Pit 08:08PM ET",6.143,"Pit"
"OF","Peter Bourjos",2100,"Phi@SF 04:05PM ET",4.162,"Phi"
"OF","Jimmy Paredes",2100,"Phi@SF 04:05PM ET",3.500,"Phi"
"SS","Jordy Mercer",2100,"LAD@Pit 08:08PM ET",6.111,"Pit"
"C","Oscar Hernandez",2100,"Ari@Col 04:10PM ET",0,"Ari"
"OF","Cody Asche",2100,"Phi@SF 04:05PM ET",5.864,"Phi"
"3B/SS","Luis Sardinas",2100,"StL@Sea 04:10PM ET",3.560,"Sea"
"SS","J.P. Crawford",2100,"Phi@SF 04:05PM ET",0,"Phi"
"2B","Marco Scutaro",2000,"Phi@SF 04:05PM ET",0,"SF"
"C","Gerald Laird",2000,"Ari@Col 04:10PM ET",0,"Ari"
"C","Brayan Pena",2000,"StL@Sea 04:10PM ET",0,"StL"
"1B/OF","Corey Hart",2000,"LAD@Pit 08:08PM ET",0,"Pit"
"1B","Michael Morse",2000,"LAD@Pit 08:08PM ET",0.000,"Pit"
"C","Erik Kratz",2000,"LAD@Pit 08:08PM ET",0.960,"Pit"
"C","Chris Stewart",2000,"LAD@Pit 08:08PM ET",4.179,"Pit"
"C","Carlos Ruiz",2000,"Phi@SF 04:05PM ET",5.724,"Phi"
"2B/SS","Sean Rodriguez",2000,"LAD@Pit 08:08PM ET",4.373,"Pit"
"2B/SS","Ramiro Pena",2000,"Phi@SF 04:05PM ET",5.375,"SF"
"1B/OF","Kyle Blanks",2000,"Phi@SF 04:05PM ET",0,"SF"
"OF","Jordan Schafer",2000,"LAD@Pit 08:08PM ET",0,"LAD"
"OF","Antoan Richardson",2000,"LAD@Pit 08:08PM ET",0,"Pit"
"OF","Mike Baxter",2000,"StL@Sea 04:10PM ET",0,"Sea"
