,Player Name,Team,Games,Innings Pitched,Starts,Quality Starts,Quality Start %,K/BB,K/9IP,BB/9IP,HR/9IP,Batting Avg on Balls IP,Strand Rate,FB VLO,ERA,Fielding Ind Pitching
417,Evan Marshall,ARI,12,13.0,0,0,0.0,1.0,4.85,4.85,0.0,0.415,64.3,93.5,6.92,3.79
418,Johnny Barbato,NYY,12,13.0,0,0,0.0,3.75,10.38,2.77,1.38,0.27,50.0,94.6,5.54,3.85
419,Nick Martinez,TEX,4,13.0,2,0,0.0,0.71,3.46,4.85,1.38,0.307,71.4,91.7,5.54,6.1
420,Daniel Wright,CIN,4,13.0,2,0,0.0,3.0,4.15,1.38,1.38,0.429,64.0,0.0,7.62,4.75
421,Josh Collmenter,ARI,9,12.7,0,0,0.0,0.78,4.97,6.39,1.42,0.277,70.0,84.1,5.68,6.35
422,Will Smith,MIL,14,12.7,0,0,0.0,1.8,6.39,3.55,0.71,0.208,83.3,91.3,2.13,4.03
423,Blaine Hardy,DET,13,12.3,0,0,0.0,1.6,5.84,3.65,1.46,0.327,66.7,88.3,5.84,5.27
424,Henry Owens,BOS,3,12.3,3,1,33.3,0.69,6.57,9.49,2.19,0.279,82.6,0.0,5.11,8.17
425,Clayton Richard,CHC,22,12.3,0,0,0.0,1.0,4.38,4.38,0.0,0.422,63.0,91.9,7.3,3.74
426,Tony Zych,SEA,10,12.0,0,0,0.0,2.38,14.25,6.0,0.0,0.321,73.3,95.3,3.0,2.1
427,Cody Reed,CIN,2,12.0,2,0,0.0,3.0,11.25,3.75,2.25,0.389,64.7,92.8,6.75,5.24
428,Robert Stephenson,CIN,2,12.0,2,1,50.0,1.0,3.0,3.0,1.5,0.19,81.8,92.7,3.0,5.73
429,Matt Belisle,WAS,12,11.7,0,0,0.0,9.0,6.94,0.77,0.0,0.315,83.3,90.6,1.54,1.92
430,Erik Johnson,CWS,2,11.7,2,0,0.0,1.83,8.49,4.63,3.86,0.291,73.3,89.8,6.94,8.48
431,Javier Lopez,SF,34,11.7,0,0,0.0,0.7,5.4,7.71,0.77,0.258,73.7,84.0,4.63,5.77
432,Sean O'Sullivan,BOS,3,11.3,2,0,0.0,3.5,5.56,1.59,1.59,0.405,57.9,90.9,7.94,4.81
433,Dean Kiekhefer,STL,11,11.0,0,0,0.0,4.5,7.36,1.64,1.64,0.312,58.3,87.7,5.73,4.49
434,Dalier Hinojosa,PHI,10,11.0,0,0,0.0,2.67,6.55,2.45,0.82,0.281,75.0,92.9,3.27,3.77
